,Heterozygosity,year
1,0.002884249,2019
2,0.003316558,2016
3,0.00305585,2018
4,0.00271278,2016
5,0.002352659,2017
6,0.002722507,2019
7,0.001735229,2018
8,0.00215956,2018
9,0.002151727,2018
10,0.00204348,2018
11,0.002131413,2018
12,0.002306184,2019
13,0.002465137,2018
14,0.002651918,2016
15,0.00221794,2019
16,0.002348507,2017
17,0.002234562,2018
18,0.001878413,2018
19,0.002551756,2018
20,0.002264915,2018
21,0.001787984,2018
22,0.002103836,2018
23,0.002169987,2018
24,0.002097603,2018
25,0.002340618,2017
26,0.002195615,2019
27,0.002417038,2019
28,0.002659049,2018
29,0.0020989,2018
30,0.001827304,2018
31,0.002711278,2019
32,0.003339535,2019
33,0.002219738,2018
34,0.002665444,2019
35,0.002314549,2017
36,0.002039354,2017
37,0.002175955,2019
38,0.002536118,2019
39,0.002162771,2016
40,0.002400017,2019
41,0.002328802,2019
42,0.001939142,2016
43,0.002030707,2016
44,0.002499131,2016
45,0.002385468,2016
46,0.003078858,2016
47,0.002221335,2016
48,0.002174918,2016
49,0.002386828,2016
50,0.001942272,2016
51,0.002113452,2016
52,0.002304598,2016
53,0.002397023,2016
54,0.002584997,2016
55,0.002162054,2016
56,0.002227064,2016
57,0.002420363,2016
58,0.002018878,2016
59,0.002056485,2016
60,0.002404318,2019
61,0.001997151,2016
62,0.002244696,2018
63,0.001934136,2018
64,0.002191785,2016
65,0.001870822,2016
66,0.003517214,2016
67,0.003847076,2016
68,0.00231756,2016
69,0.002000155,2016
70,0.002028921,2016
71,0.002078308,2017
72,0.002478178,2016
73,0.002857885,2016
74,0.00275846,2016
75,0.002517294,2018
76,0.00187878,2018
77,0.002286175,2018
78,0.002416386,2018
79,0.002564903,2018
80,0.00230993,2018
81,0.002085158,2018
82,0.00250713,2018
83,0.002014018,2018
84,0.003335777,2016
85,0.002342042,2018
86,0.002106845,2015
87,0.002040641,2015
88,0.002036849,2015
89,0.002524116,2015
90,0.002826846,2015
91,0.002695373,2015
92,0.002218825,2015
93,0.001933839,2017
94,0.002209576,2015
95,0.002132503,2015
96,0.002617254,2015
97,0.002336288,2015
98,0.002374273,2016
99,0.001722016,2015
100,0.001991188,2015
101,0.002039141,2016
102,0.001798235,2016
103,0.001866359,2016
104,0.001925956,2016
105,0.002293419,2016
106,0.002152709,2016
107,0.002012168,2016
108,0.002207977,2016
109,0.002686919,2015
110,0.00233281,2016
111,0.002133329,2018
112,0.002955246,2018
113,0.002723305,2018
114,0.002855787,2018
115,0.002303958,2018
116,0.002650187,2018
117,0.002220845,2015
118,0.002117165,2018
119,0.001964832,2018
120,0.002921501,2018
121,0.002259972,2015
122,0.002932027,2018
123,0.003240904,2018
124,0.002746736,2018
125,0.002245398,2018
126,0.002340613,2018
127,0.002026034,2018
128,0.002497723,2018
129,0.002383482,2018
130,0.003672087,2022
131,0.002325416,2015
132,0.001971756,2016
133,0.002082899,2016
134,0.001999584,2016
135,0.002184971,2016
136,0.002404545,2016
137,0.002055514,2016
138,0.002064738,2016
139,0.002124071,2016
140,0.002061415,2016
141,0.002993879,2016
142,0.002169855,2016
143,0.002317711,2016
144,0.001757577,2016
145,0.00186807,2016
146,0.002179084,2016
147,0.002075168,2016
148,0.002093902,2016
149,0.002203381,2016
150,0.002035616,2016
151,0.002677131,2018
152,0.001979134,2016
153,0.001925631,2016
154,0.00206859,2016
155,0.0020282,2016
156,0.002184857,2017
157,0.001928858,2016
158,0.001998367,2016
159,0.002059508,2017
160,0.001867626,2017
161,0.00198877,2017
162,0.0022909,2017
163,0.002051533,2017
164,0.00226091,2017
165,0.002077481,2017
166,0.001801169,2017
167,0.003434696,2017
168,0.00201213,2017
169,0.003370807,2017
170,0.001891758,2017
171,0.001958243,2017
172,0.002213428,2017
173,0.002006482,2017
174,0.001890335,2018
175,0.002138352,2017
176,0.001917647,2017
177,0.002490527,2017
178,0.00213644,2017
179,0.002237533,2018
180,0.002206011,2018
181,0.002021662,2018
182,0.002090629,2018
183,0.003355325,2018
184,0.001930216,2018
185,0.002410288,2018
186,0.002376011,2018
187,0.002029865,2018
188,0.001914458,2018
189,0.002006702,2018
190,0.002181807,2018
191,0.001965424,2018
192,0.002059837,2018
193,0.002482786,2018
194,0.002682495,2019
195,0.002536993,2018
196,0.002872936,2019
197,0.002550001,2018
198,0.002032548,2018
199,0.002273239,2018
200,0.001984216,2018
201,0.00196706,2018
202,0.00249141,2018
203,0.001968228,2018